iter	RMSE
0	0.6005021114
1	0.5903734447
2	0.5802862163
3	0.5716064167
4	0.5632891783
5	0.5553495383
6	0.5471451358
7	0.5394987129
8	0.5321817646
9	0.5251201906
10	0.5178606132
11	0.5116679488
12	0.5054400874
13	0.4990212177
14	0.4934068582
15	0.4878682684
16	0.4817562746
17	0.4762799099
18	0.470882607
19	0.4657757569
20	0.4609936734
21	0.4564694441
22	0.4520538238
23	0.4476551768
24	0.4436679268
25	0.4403930931
26	0.4366805928
27	0.4333822228
28	0.4296099526
29	0.4266334463
30	0.4234766246
31	0.4209525022
32	0.4180612817
33	0.4156005226
34	0.4127153066
35	0.4098541823
36	0.4075270692
37	0.4057695658
38	0.4035225958
39	0.4014656046
40	0.399106793
41	0.3973837585
42	0.3955768648
43	0.3936997741
44	0.3920148632
45	0.3901911471
46	0.3887503929
47	0.3868298428
48	0.3851178635
49	0.3840631768
50	0.3829765004
51	0.3817238181
52	0.3803193085
53	0.3788911679
54	0.3781384806
55	0.3766321565
56	0.375740167
57	0.3746788252
58	0.3733512123
59	0.3725161278
60	0.3714751538
61	0.3705561427
62	0.3694169291
63	0.3684129967
64	0.3675980724
65	0.3666850518
66	0.3660185919
67	0.3653005236
68	0.3643009505
69	0.3637313202
70	0.363187647
71	0.3628683829
72	0.3619518389
73	0.361578745
74	0.3609777555
75	0.3607265246
76	0.3599946745
77	0.3595119247
78	0.358989004
79	0.3587828782
80	0.3585501624
81	0.3582571611
82	0.3580683368
83	0.357890456
84	0.3572507134
85	0.3570186959
86	0.3568603401
87	0.3564484061
88	0.3562912029
89	0.3558464182
90	0.3554791859
91	0.3552235253
92	0.3549724567
93	0.3544337717
94	0.3540145061
95	0.3535336073
96	0.3530904837
97	0.3530372361
98	0.3526648282
99	0.3525717355
100	0.3523028139
101	0.3521438434
102	0.3518862564
103	0.3517434467
104	0.3513661171
105	0.3511061621
106	0.3507555613
107	0.350360462
108	0.3499553674
109	0.3495851693
110	0.3494206319
111	0.349114881
112	0.3488450839
113	0.3487564894
114	0.3484783405
115	0.3483615469
116	0.3480473382
117	0.3477435567
118	0.3474316519
119	0.3474170778
120	0.3471492973
121	0.3468790786
122	0.3467993723
123	0.3466235021
124	0.346464541
125	0.3462503261
126	0.346201217
127	0.3461545328
128	0.3458470171
129	0.3457320537
130	0.3456582769
131	0.3455177393
132	0.3453468222
133	0.3451605761
134	0.345092636
135	0.3449282435
136	0.3448648946
137	0.3448344207
138	0.3448083153
139	0.3445791016
140	0.3443589804
141	0.3442399289
142	0.3439638822
143	0.3438353272
144	0.3436907709
145	0.3436783478
146	0.343495869
147	0.3434843953
148	0.3433380217
149	0.3431190332
150	0.3428550279
151	0.3428209836
152	0.3427377087
153	0.3426214856
154	0.3425089834
155	0.3423851518
156	0.342343117
157	0.3421583002
158	0.3421509385
159	0.3420500932
160	0.3420270402
161	0.341867622
162	0.3418053893
163	0.341691782
164	0.3415501149
165	0.3414470239
166	0.3414118412
167	0.3413226046
168	0.3413156973
169	0.3412653589
170	0.3411622574
171	0.3411092853
172	0.3409970887
173	0.340943059
174	0.3407933428
175	0.3407793717
176	0.3407443435
177	0.3406805156
178	0.3405451809
179	0.3404339772
180	0.3403681271
181	0.3402173795
182	0.3401556827
183	0.3401386287
184	0.3400778641
185	0.3400703084
186	0.3399854869
187	0.3399790644
188	0.33991692
189	0.3398938782
190	0.3398143958
191	0.3398030117
192	0.3397266532
193	0.3397258785
194	0.3396787043
195	0.3396722452
196	0.3396588632
197	0.3395394675
198	0.3394985295
199	0.3393423072
200	0.3391656419
201	0.3390405278
202	0.3390191298
203	0.3389926003
204	0.3388226723
205	0.3386829321
206	0.3386565483
207	0.3386361908
208	0.3384672444
209	0.3384656936
210	0.338395115
211	0.3383732516
212	0.3383438963
213	0.3383354417
214	0.3382972989
215	0.3382197784
216	0.3380509241
217	0.3380337731
218	0.3379973517
219	0.337912929
220	0.3378400531
221	0.3378327322
222	0.3377991353
223	0.3377920268
224	0.33776303
225	0.3377136708
226	0.3376076075
227	0.3375212498
228	0.3374323503
229	0.3374210958
230	0.3373668709
231	0.337360431
232	0.3372093322
233	0.3371489868
234	0.33712544
235	0.3370951645
236	0.3370545885
237	0.3370237216
238	0.337023527
239	0.3370215991
240	0.3369119404
241	0.3369117572
242	0.3367389738
243	0.3366367835
244	0.3365818352
245	0.3365802135
246	0.3364659074
247	0.336413888
248	0.3364069749
249	0.3363162192
250	0.3363106283
251	0.3363093737
252	0.3361913367
253	0.3361472487
254	0.3361429715
255	0.336034043
256	0.3359918277
257	0.3359757771
258	0.3359671329
259	0.335965991
260	0.335917473
261	0.3357609942
262	0.3357024006
263	0.335699561
264	0.3356391883
265	0.3356076802
266	0.3355890262
267	0.3355202814
268	0.3355144931
269	0.3354572961
270	0.3354540724
271	0.335389152
272	0.3352982065
273	0.3352521638
274	0.3351697046
275	0.3351497909
276	0.3351476679
277	0.3351447613
278	0.3350601483
279	0.3350594766
280	0.3350530468
281	0.3350112989
282	0.3348971896
283	0.3348218907
284	0.3348171375
285	0.3347265856
286	0.3347229988
287	0.3346099633
