iter	Passed	Remaining
0	0	970
1	3	1748
2	4	1447
3	5	1246
4	5	1143
5	6	1054
6	7	994
7	8	999
8	8	990
9	9	968
10	10	986
11	11	961
12	12	970
13	13	972
14	14	973
15	15	979
16	17	989
17	18	982
18	18	974
19	19	966
20	20	972
21	21	971
22	23	979
23	23	970
24	24	960
25	25	946
26	25	934
27	27	942
28	28	940
29	29	938
30	30	940
31	30	927
32	31	918
33	32	916
34	33	914
35	33	909
36	34	903
37	35	894
38	36	893
39	37	890
40	38	889
41	38	884
42	39	886
43	41	893
44	42	894
45	43	894
46	44	892
47	45	892
48	45	892
49	46	890
50	47	889
51	48	885
52	49	885
53	50	889
54	51	881
55	52	886
56	53	885
57	54	884
58	55	883
59	56	882
60	57	882
61	58	880
62	59	879
63	60	879
64	61	880
65	62	879
66	64	893
67	65	901
68	66	901
69	67	900
70	68	897
71	69	891
72	69	888
73	70	885
74	71	880
75	71	875
76	72	874
77	73	872
78	74	868
79	75	862
80	75	859
81	76	855
82	76	849
83	77	844
84	78	843
85	79	840
86	79	835
87	80	833
88	81	829
89	81	826
90	82	825
91	83	822
92	84	820
93	84	818
94	85	818
95	86	817
96	87	814
97	88	810
98	88	809
99	89	806
100	90	803
101	91	802
102	92	801
103	92	798
104	93	795
105	94	794
106	94	792
107	95	792
108	97	793
109	97	791
110	98	789
111	100	793
112	101	799
113	103	800
114	103	798
115	104	795
116	105	794
117	106	793
118	107	792
119	107	789
120	108	788
121	109	787
122	110	786
123	110	783
124	111	782
125	112	781
126	113	778
127	113	775
128	114	774
129	115	774
130	116	772
131	117	771
132	118	770
133	119	769
134	119	766
135	120	766
136	121	764
137	121	761
138	122	758
139	123	756
140	124	757
141	125	755
142	125	754
143	126	753
144	127	752
145	128	749
146	128	748
147	129	745
148	130	745
149	131	744
150	132	743
151	132	741
152	133	740
153	134	739
154	135	738
155	136	738
156	137	736
157	138	736
158	138	733
159	139	733
160	140	730
161	141	730
162	142	729
163	142	728
164	143	727
165	144	726
166	145	724
167	146	723
168	146	722
169	147	720
170	148	720
171	149	719
172	150	718
173	151	718
174	152	717
175	152	715
176	153	714
177	154	713
178	155	712
179	156	711
180	157	710
181	157	709
182	158	708
183	159	706
184	160	705
185	160	703
186	161	703
187	162	701
188	163	699
189	163	697
190	164	696
191	165	695
192	166	694
193	166	692
194	167	691
195	167	689
196	169	690
197	171	692
198	172	692
199	173	692
200	174	695
201	175	694
202	176	694
203	178	696
204	180	698
205	181	700
206	182	700
207	183	699
208	186	704
209	187	704
210	188	704
211	189	705
212	191	705
213	192	705
214	193	705
215	194	705
216	196	709
217	197	709
218	198	709
219	200	709
220	201	708
221	201	706
222	202	706
223	203	705
224	204	703
225	205	702
226	206	701
227	206	700
228	208	700
229	209	700
230	210	699
231	211	699
232	212	699
233	213	700
234	215	700
235	216	700
236	217	700
237	218	701
238	219	699
239	220	698
240	222	700
241	223	698
242	224	699
243	226	701
244	227	700
245	228	700
246	230	701
247	232	705
248	233	705
249	235	707
250	237	708
251	238	707
252	240	708
253	240	706
254	241	704
255	242	703
256	242	702
257	243	700
258	244	698
259	244	696
260	245	695
261	246	695
262	247	694
263	248	692
264	249	692
265	250	691
266	251	690
267	252	689
268	252	687
269	253	686
270	254	684
271	255	683
272	256	682
273	257	681
274	257	679
275	258	678
276	259	676
277	259	675
278	260	674
279	261	672
280	262	671
281	263	671
282	264	670
283	265	669
284	266	668
285	267	667
286	267	665
287	268	664
288	269	663
289	270	661
290	271	660
291	272	659
292	273	659
293	274	658
294	275	657
295	276	657
296	277	655
297	277	654
298	278	652
299	279	651
300	280	650
301	281	649
302	281	648
303	282	646
304	283	645
305	283	643
306	284	642
307	285	641
308	286	640
309	287	639
310	288	638
311	289	637
312	290	636
313	290	634
314	291	633
315	292	632
316	293	631
317	294	630
318	294	629
319	295	627
320	296	626
321	297	625
322	297	623
323	298	622
324	299	621
325	300	620
326	301	619
327	301	617
328	302	616
329	302	615
330	303	614
331	304	613
332	305	612
333	306	611
334	307	610
335	308	609
336	309	608
337	309	606
338	310	605
339	311	603
340	312	604
341	313	603
342	314	602
343	314	600
344	315	599
345	316	598
346	317	597
347	318	596
348	319	595
349	320	594
350	320	592
351	321	591
352	321	590
353	322	589
354	323	587
355	324	586
356	324	585
357	325	584
358	326	583
359	327	581
360	328	580
361	329	580
